# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.00549496295063	0.0879071842927	0.0297183098592	0.00828487624144	0.0434539190353	0.0428642908767	0.0477552514759	0.0371806569343	0.0615695402046	0.0714519446522	0.0335280916267	0.0338583873582	0.0275866188769	0.0479444778868	0.0995172051686	0.000989622338718	0.138066996336	0.0332296065792	0.0767807021112	0.0608611201036	0.00992040152139	0.00365191485272	0.0242070475128	0.0809822562642	0.0771101671691	0.0105809128631	0.0302758867789
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	0.00391307967696	0.00821805741484	0.00661971830986	0.00313899037719	0.0108527131783	0.00502214562369	0.00336369044895	0.00440522354015	0.00245926836766	0.00682498130142	0.00481736573286	0.0124594813614	0.00542413381123	0.00577175029213	0.00399554343233	0.00353054455975	0.00491218847032	0.0032970289694	0.00416954806167	0.00215280025898	0.00531310041956	0.00389217240882	0.00221039529594	0.00269427658674	0.00095916689504	0.00290456431535	0.00250806162666
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.167263341937	0.136992414101	0.186478873239	0.142746873874	0.232299741602	0.123607790812	0.191821884582	0.140938640511	0.15745904879	0.187920718025	0.205734406439	0.196084886548	0.166081242533	0.185687475656	0.217693085917	0.122071252808	0.181126681891	0.20567533526	0.182077045112	0.162641631596	0.204740618751	0.19516121282	0.110133482124	0.170393749278	0.204919155933	0.126348547718	0.158366176997
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.0199816834568	0.0116391491893	0.018661971831	0.0160294344671	0.0188199827735	0.0136209484628	0.0147132854332	0.0108776231752	0.0143603706469	0.0131591249065	0.0184568952175	0.0166379659643	0.0131780167264	0.0157572323926	0.0131263846735	0.00845190970365	0.00869079498595	0.0357486848929	0.0205223121669	0.0155066364519	0.015429557307	0.00989861131133	0.010215030688	0.0108155960125	0.0105165798849	0.0232365145228	0.0179147259047
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	0.00158188327367	0.00048341514205	0.000492957746479	0.000540318015746	0.00021533161068	5.55957080113e-05	9.15289918082e-05	0.000570255474453	0.000131746519696	0.000303851907255	0.000503018108652	0.000329213938412	0.00026284348865	0.000389504620941	0.000128062289498	0.00698084947042	0.000345003203601	0.000518633770468	0.000183053329537	0.000210424085465	0.000372505195467	0.00141751958099	0.000236061633547	0.000115468996574	0.000171279802686	0.000207468879668	0.000537441777141
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__	0.0096578136708	0.0346571471069	0.0126901408451	0.0118355374878	0.0180017226529	0.0128982042586	0.00926731042058	0.020044479927	0.00474287470906	0.0175299177263	0.022384305835	0.0110160048622	0.0106810035842	0.0214227541518	0.0100528897256	0.00805071145822	0.00842793540226	0.00866859302067	0.0164747996583	0.00789899643898	0.0129788652315	0.0199173514007	0.00931370445083	0.0112774719988	0.0178816114004	0.0103734439834	0.0130777499104
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0.00582799100824	0.0116019634092	0.0132816901408	0.00933978284362	0.019293712317	0.00909916421119	0.0116699464555	0.00766993613139	0.00957358043125	0.00885845175767	0.011917659805	0.0141308752026	0.0124611708483	0.0125349668921	0.0115127998258	0.0122499197604	0.0163137229131	0.00977995110024	0.0116137167962	0.00772094528974	0.00670509351841	0.00379606938638	0.0066097257393	0.0113159616643	0.012434913675	0.00560165975104	0.00873342887854
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	8.32570144035e-05	0.00174773166741	0.00285915492958	0.000514588586425	0.00374677002584	0.00229795593114	0.0153768706238	0.000613024635036	0.00823415748101	0.00778328347046	0.0010640767683	0.00491288492707	0.00332138590203	0.000424914131936	0.00459743619296	5.34930993902e-05	0.00957794608093	0.00403793435578	0.00158646218932	0.00616704435092	0.000627377171313	0.00019220604488	0.00175973217735	0.0119702859782	0.00393943546177	0.000414937759336	0.00223934073809
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	0.00283073848972	0.00502008032129	0.00795774647887	0.00681829877013	0.00344530577089	0.00322455106466	0.0083977849984	0.00421989051095	0.0073558473497	0.00771316379955	0.00340504565857	0.00534339546191	0.00455197132616	0.00339931305549	0.00577560925634	0.00676687707286	0.00463290016264	0.00666814847744	0.00272546068421	0.00657170605374	0.00435242912599	0.00365191485272	0.00540795742307	0.00839074708441	0.00308303644834	0.00165975103734	0.00344858473665
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0.00266422446091	0.00420199315782	0.00449295774648	0.00198116605774	0.00318690783807	0.00137136079761	0.00697908562537	0.00339302007299	0.00395239559088	0.00591342557966	0.00156709487695	0.00311487034036	0.0026523297491	0.00421373180836	0.00271492053735	0.000695410292072	0.00167572984606	0.00689042009335	0.00246105031933	0.00292975072839	0.0011175155864	0.000937004468791	0.00233915618696	0.00369500789038	0.00256919704029	0.00248962655602	0.00313507703332
