	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
515rcbc21	0.0	0.057832572444	0.0695864337519	0.0294455181327	0.0190439296506	0.0489675590446	0.0770797343677	0.0454489304379	0.0410427257719	0.0581340842947	0.0567202580043	0.070707155687	0.019239758227	0.00884084144644	0.0336871465096	0.0331499855597	0.0615551489651	0.0492982341127	0.0317549808989	0.0504532424266	0.0444207377035	0.0131419442467	0.0640348762552	0.0132433496982	0.0365061296494	0.0845518034397	0.0157988211525
515rcbc17	0.057832572444	0.0	0.0359422552283	0.0316775214089	0.0529414569315	0.0697463008618	0.127868293354	0.0458549747049	0.0376894374317	0.0746812816454	0.0536580218343	0.120496331746	0.0564249572385	0.0567163912248	0.0518652391804	0.0694411500021	0.058598785705	0.0831957613936	0.0656525081798	0.0843507697076	0.0468887140357	0.0471737400451	0.0312336131464	0.0511778326921	0.0704036569303	0.122346211609	0.0496963484335
515rcbc34	0.0695864337519	0.0359422552283	0.0	0.0585657324416	0.0819775792504	0.0991355155268	0.114797543729	0.0617305683672	0.0672874224359	0.0530656474798	0.0833755225876	0.122499699169	0.0854610795573	0.0722194113188	0.0736630932986	0.0984772723209	0.0709673425053	0.0981999723812	0.0946886304987	0.113386892026	0.0763997288766	0.0763248747973	0.0613252034981	0.0765506379769	0.0994397792492	0.145277168252	0.0787324707523
515rcbc33	0.0294455181327	0.0316775214089	0.0585657324416	0.0	0.0246664004625	0.0569960928385	0.0968370873498	0.0330921145857	0.0466651965838	0.0431915331129	0.0623649994914	0.092221275277	0.0281499007694	0.0284413347557	0.0393096173215	0.041166093533	0.0644991489555	0.0549207049246	0.0373774517108	0.0560757132385	0.0181512124533	0.0187866857338	0.0404807291014	0.0227907783808	0.0421286004613	0.0913073228486	0.0214212919644
515rcbc31	0.0190439296506	0.0529414569315	0.0819775792504	0.0246664004625	0.0	0.0464858067477	0.0888033327175	0.0543277053	0.0284890131175	0.0592123534635	0.0518335309999	0.0740450918106	0.00997371730307	0.0102651512894	0.0211334338552	0.0229899100667	0.0471625515263	0.0367445214582	0.0192012682444	0.0378995297722	0.031867025049	0.00842715044311	0.0538372141533	0.0124154454053	0.023952416995	0.0833030377076	0.00324510849807
515rcbc15	0.0489675590446	0.0697463008618	0.0991355155268	0.0569960928385	0.0464858067477	0.0	0.121387072262	0.0394867374054	0.068484602869	0.0945576422723	0.0482223476642	0.081086899178	0.0499693070546	0.0502607410409	0.0453570748349	0.0606252998446	0.0889970260622	0.0455546692976	0.027726954214	0.0467284059409	0.0718626148006	0.0406925189524	0.0915101905401	0.0446966115994	0.0639480067465	0.115864990516	0.0432406982496
515rcbc26	0.0770797343677	0.127868293354	0.114797543729	0.0968370873498	0.0888033327175	0.121387072262	0.0	0.115981756072	0.0999937064132	0.0835161714979	0.116959331647	0.13238962651	0.0891151406611	0.0790934206254	0.095934278312	0.10070621663	0.128724961029	0.11905763718	0.101514383966	0.113723867288	0.0958422772124	0.0831776651569	0.114656485696	0.0808845687913	0.106265532716	0.149522309939	0.0855582242194
515rcbc22	0.0454489304379	0.0458549747049	0.0617305683672	0.0330921145857	0.0543277053	0.0394867374054	0.115981756072	0.0	0.0763265014214	0.0622647380013	0.0610835886768	0.0777157887417	0.057811205607	0.0443740618235	0.0532627641313	0.0708273983706	0.0968389246146	0.0535237233494	0.0356960082658	0.0546974599927	0.0482976348182	0.0485654793603	0.0706271514663	0.0525695720073	0.0717899052989	0.123737950924	0.051082596802
515rcbc37	0.0410427257719	0.0376894374317	0.0672874224359	0.0466651965838	0.0284890131175	0.068484602869	0.0999937064132	0.0763265014214	0.0	0.0812111495849	0.0365600726098	0.0949539342258	0.0308458809148	0.0322639474108	0.0431322299766	0.0391209458607	0.0336731755503	0.0576320104952	0.0412000643658	0.0598983258935	0.0538658211704	0.029298428695	0.038602527979	0.0279689504947	0.0448325829631	0.105301833829	0.0252439046194
515rcbc24	0.0581340842947	0.0746812816454	0.0530656474798	0.0431915331129	0.0592123534635	0.0945576422723	0.0835161714979	0.0622647380013	0.0812111495849	0.0	0.0999184497689	0.0998109553977	0.0626958537705	0.0492932428483	0.0738555703226	0.0757120465341	0.0923508054904	0.0826997562183	0.0719234047118	0.0906216662395	0.0532621725365	0.0611492869105	0.0598948918874	0.0651375818727	0.0766745534623	0.133442111068	0.0559672449655
515rcbc18	0.0567202580043	0.0536580218343	0.0833755225876	0.0623649994914	0.0518335309999	0.0482223476642	0.116959331647	0.0610835886768	0.0365600726098	0.0999184497689	0.0	0.0888945011831	0.0553170313068	0.0556084652931	0.0664767478589	0.0683332240704	0.0574694208831	0.0509891062946	0.033161391211	0.0521628429379	0.0772103390528	0.0460614256054	0.0623987733118	0.0500655182524	0.0692957309987	0.11730017664	0.0485884225018
515rcbc35	0.070707155687	0.120496331746	0.122499699169	0.092221275277	0.0740450918106	0.081086899178	0.13238962651	0.0777157887417	0.0949539342258	0.0998109553977	0.0888945011831	0.0	0.0764280389994	0.0642308437932	0.081303561215	0.0871223971705	0.102556543563	0.0578698092621	0.0557331099721	0.0540903025183	0.0928613547446	0.0748805867796	0.112602509077	0.0799703202198	0.0859748006647	0.14410088282	0.0707999833126
