	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
515rcbc21	0.0	0.178061375519	0.176991014523	0.215763674274	0.147236653527	0.171890120332	0.22557336722	0.118550348548	0.117976929461	0.168982018672	0.152635813278	0.241055804979	0.170795134855	0.0948012261411	0.100128304979	0.136403719917	0.183724587137	0.165345753112	0.113929039419	0.185303761411	0.170639591286	0.170369273859	0.121123676349	0.159267466805	0.169127151452	0.290928834025	0.19338656639
515rcbc17	0.178061375519	0.0	0.102046684647	0.187454589212	0.198972431535	0.109502865145	0.171519547718	0.159132275934	0.164005844398	0.136475195021	0.0840874377593	0.219072973029	0.189041937759	0.163136917012	0.210329244813	0.186169012448	0.233095726141	0.164890082988	0.171289323651	0.135924248963	0.0746943195021	0.171063599585	0.158088894191	0.144910917012	0.216964647303	0.281791354772	0.228433676349
515rcbc34	0.176991014523	0.102046684647	0.0	0.212923746888	0.210801887967	0.12477836722	0.117943526971	0.17543996888	0.1630798361	0.0955035892116	0.0684794502075	0.159395271784	0.211896174274	0.16383819917	0.195178431535	0.202393257261	0.237927190871	0.19181113278	0.17977979668	0.129364253112	0.0903230539419	0.208819923237	0.168926188797	0.142458970954	0.233636004149	0.315358238589	0.252457257261
515rcbc33	0.215763674274	0.187454589212	0.212923746888	0.0	0.178706672199	0.218797400415	0.256837863071	0.127714329876	0.203140914938	0.224912489627	0.199321848548	0.307959429461	0.158916655602	0.204077846473	0.257774543568	0.234585954357	0.172803174274	0.11232173029	0.171176966805	0.223746302905	0.177481651452	0.126744529046	0.171745201245	0.179851502075	0.184407228216	0.127549794606	0.227262394191
515rcbc31	0.147236653527	0.198972431535	0.210801887967	0.178706672199	0.0	0.222154578838	0.258748900415	0.129424732365	0.15063843361	0.205113240664	0.195072495851	0.275033923237	0.0680121991701	0.149195892116	0.169444502075	0.17021473029	0.0928000622407	0.125350614108	0.0930969087137	0.200792149378	0.189038340249	0.190726736515	0.1382005	0.167297560166	0.0869259211618	0.204991524896	0.140739448133
515rcbc15	0.171890120332	0.109502865145	0.12477836722	0.218797400415	0.222154578838	0.0	0.199843251037	0.166177825726	0.168178016598	0.148734973029	0.0997803775934	0.210936680498	0.233438798755	0.146160802905	0.183816914938	0.194620599585	0.253015172199	0.210097363071	0.188783553942	0.205153848548	0.121341209544	0.196720348548	0.178123842324	0.18381029668	0.254525292531	0.304859406639	0.261601080913
515rcbc26	0.22557336722	0.171519547718	0.117943526971	0.256837863071	0.258748900415	0.199843251037	0.0	0.215555201245	0.244419313278	0.100867751037	0.128667354772	0.19598883195	0.269446298755	0.234685717842	0.255911609959	0.24025846473	0.283164033195	0.241455178423	0.220680004149	0.143680315353	0.158012879668	0.247608599585	0.206242466805	0.175488385892	0.287695307054	0.356306350622	0.302739394191
515rcbc22	0.118550348548	0.159132275934	0.17543996888	0.127714329876	0.129424732365	0.166177825726	0.215555201245	0.0	0.133355522822	0.167343939834	0.150184692946	0.264668302905	0.12576689834	0.123313935685	0.165693508299	0.159297682573	0.143332246888	0.108123495851	0.106209425311	0.176863786307	0.136794537344	0.112368589212	0.112496917012	0.12229136722	0.128885325726	0.214637315353	0.182305819502
515rcbc37	0.117976929461	0.164005844398	0.1630798361	0.203140914938	0.15063843361	0.168178016598	0.244419313278	0.133355522822	0.0	0.186649952282	0.160386871369	0.242757195021	0.134053748963	0.0897247157676	0.132409213693	0.131544910788	0.19273090249	0.16344796473	0.136081753112	0.177522989627	0.153067047718	0.180755497925	0.127785676349	0.192578217842	0.146817242739	0.275362556017	0.168111794606
515rcbc24	0.168982018672	0.136475195021	0.0955035892116	0.224912489627	0.205113240664	0.148734973029	0.100867751037	0.167343939834	0.186649952282	0.0	0.0860673755187	0.174844782158	0.22587813278	0.153485174274	0.19166386722	0.188875692946	0.238663751037	0.211631095436	0.16309953527	0.124494568465	0.124380709544	0.201605686722	0.176493885892	0.130025912863	0.244008004149	0.316843707469	0.256189605809
515rcbc18	0.152635813278	0.0840874377593	0.0684794502075	0.199321848548	0.195072495851	0.0997803775934	0.128667354772	0.150184692946	0.160386871369	0.0860673755187	0.0	0.169176394191	0.209139599585	0.144283541494	0.18135576971	0.170142396266	0.216620139004	0.17861796888	0.150613304979	0.130370491701	0.0761113257261	0.186289124481	0.141047473029	0.113827504149	0.226033578838	0.300372705394	0.245248026971
515rcbc35	0.241055804979	0.219072973029	0.159395271784	0.307959429461	0.275033923237	0.210936680498	0.19598883195	0.264668302905	0.242757195021	0.174844782158	0.169176394191	0.0	0.294400956432	0.23275290249	0.220560358921	0.245253143154	0.293604109959	0.266185524896	0.233185155602	0.190789695021	0.185920674274	0.292498813278	0.207392771784	0.205667172199	0.307051417012	0.39085040249	0.324510325726
515rcbc11	0.170795134855	0.189041937759	0.211896174274	0.158916655602	0.0680121991701	0.233438798755	0.269446298755	0.12576689834	0.134053748963	0.22587813278	0.209139599585	0.294400956432	0.0	0.161927029046	0.20159153527	0.179479257261	0.0977007717842	0.112028174274	0.124850962656	0.192687879668	0.184834410788	0.165489122407	0.15045243361	0.17069486722	0.0654030829876	0.179678284232	0.129118311203
515rcbc27	0.0948012261411	0.163136917012	0.16383819917	0.204077846473	0.149195892116	0.146160802905	0.234685717842	0.123313935685	0.0897247157676	0.153485174274	0.144283541494	0.23275290249	0.161927029046	0.0	0.112589871369	0.13887393361	0.185754020747	0.164505232365	0.114025211618	0.179653298755	0.148809394191	0.176809612033	0.119481524896	0.159797721992	0.167723979253	0.270875246888	0.18849760166
515rcbc13	0.100128304979	0.210329244813	0.195178431535	0.257774543568	0.169444502075	0.183816914938	0.255911609959	0.165693508299	0.132409213693	0.19166386722	0.18135576971	0.220560358921	0.20159153527	0.112589871369	0.0	0.133392435685	0.215961688797	0.189770680498	0.130647547718	0.201572954357	0.192899165975	0.19583823444	0.160989192946	0.180313871369	0.199798941909	0.333954815353	0.23224546473
515rcbc23	0.136403719917	0.186169012448	0.202393257261	0.234585954357	0.17021473029	0.194620599585	0.24025846473	0.159297682573	0.131544910788	0.188875692946	0.170142396266	0.245253143154	0.179479257261	0.13887393361	0.133392435685	0.0	0.206098684647	0.160685842324	0.137201572614	0.157988029046	0.158111493776	0.157398719917	0.125976612033	0.135451767635	0.178713087137	0.293403520747	0.208647605809
515rcbc32	0.183724587137	0.233095726141	0.237927190871	0.172803174274	0.0928000622407	0.253015172199	0.283164033195	0.143332246888	0.19273090249	0.238663751037	0.216620139004	0.293604109959	0.0977007717842	0.185754020747	0.215961688797	0.206098684647	0.0	0.124282053942	0.118460560166	0.238959742739	0.205140091286	0.201359620332	0.158401981328	0.179483215768	0.0873777551867	0.172187346473	0.174795809129
515rcbc16	0.165345753112	0.164890082988	0.19181113278	0.11232173029	0.125350614108	0.210097363071	0.241455178423	0.108123495851	0.16344796473	0.211631095436	0.17861796888	0.266185524896	0.112028174274	0.164505232365	0.189770680498	0.160685842324	0.124282053942	0.0	0.117632564315	0.164893987552	0.143197950207	0.111920798755	0.128142462656	0.130742406639	0.131545419087	0.175934860996	0.188849676349
515rcbc19	0.113929039419	0.171289323651	0.17977979668	0.171176966805	0.0930969087137	0.188783553942	0.220680004149	0.106209425311	0.136081753112	0.16309953527	0.150613304979	0.233185155602	0.124850962656	0.114025211618	0.130647547718	0.137201572614	0.118460560166	0.117632564315	0.0	0.165113307054	0.14632880083	0.174331807054	0.105521321577	0.133661618257	0.128568643154	0.239393491701	0.169909858921
515rcbc9	0.185303761411	0.135924248963	0.129364253112	0.223746302905	0.200792149378	0.205153848548	0.143680315353	0.176863786307	0.177522989627	0.124494568465	0.130370491701	0.190789695021	0.192687879668	0.179653298755	0.201572954357	0.157988029046	0.238959742739	0.164893987552	0.165113307054	0.0	0.122509622407	0.177214840249	0.146941649378	0.116055634855	0.208198141079	0.303501993776	0.246591904564
